	address	akadaly	allapot	berleti_jog_atadas	busz	butorozott	city	city_latitude	city_longitude	contract	district	dohanyzas	ejszakai-busz	energia	epites_eve	futes	futes_elso	futes_masodik	id	kilatas	kisallat	koltozheto	komfort	kondi	metro	min_berl_honapban	parkolas	parkolas_konstrukcio	parkolohely_ar	parkolohely_berles	pince	price_ft	real_estate_type	rezsi_ft	room	room_full	room_half	size_m2	stemmed_text	szintek	telek_m2	tetoter	text	troli	type	villamos	wc
10	Szárcsa utca			nem			Cegléd	47.1716447	19.7977516	kiado									https://ingatlan.com/cegled/kiado+haz/csaladi-haz/pest+megye+cegled+szarcsa+utca/25933671							nincs						150000	haz	0	4	4	0	120	kiadó jó állapotú bútorozott családi ház cegléd központ 4 szoba étkező konyha 2 fürdő 2 wc kamra közlekedő kombi cirko kazán biztosít a fűtés az emeleti fürdőszoba villany bojler egy autó kocsibeállási lehetőség az udvar ingyenes parkolás az utca iroda magánrendelőnek is alkalmas 2 havi kaució szükséges		284.0				családi ház		
11	Honfoglalás utca		újszerű	nem	140,140b,142,172,172b,173	részben bútorozott	Törökbálint	47.4349579	18.9130312	kiado						házközponti	házközponti		https://ingatlan.com/torokbalint/kiado+haz/ikerhaz/pest+megye+torokbalint+honfoglalas+utca/25932226		hozható	2018 április	luxus	van		12	önálló garázs					850000	haz	0	10 + 1 fél	10	1	438	tulajdonostol amerikai konyhas tagas modern galerias luxushaz fitneszreszleggel uszodaval szaunaval es garazzsal ellatva aprilis 1 napjatol kiado ne szalaszt el ez a lehetoseget hivajanak most	3	500.0	beépíthető			ikerház		külön és egyben is
12	16. kerület, Károly utca 3.			nem	7g,46,44,146		Budapest	47.4983815	19.0404707	kiado	16. kerület		996,996a						https://ingatlan.com/xvi-ker/kiado+haz/csaladi-haz/budapest+16+kerulet+karoly+utca+3/25889621							nincs						300000	haz	40000	3	3	0	130	hosszú táv kiadó egy szépen felújított hangulatos étkező konyhás 3 szobás régi polgári ház beépített szekrény bútorok fedett konyhakapcsolatos terasz a kert fedett kocsibeálló rendezett kert automata öntözőrendszer		700.0				családi ház		
13	2. kerület, Napraforgó utca		felújított	nem	29,129	megegyezés szerint	Budapest	47.4983815	19.0404707	kiado	2. kerület	nem megengedett	956	AA+	1950 előtt	gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/csaladi-haz/budapest+2+kerulet+napraforgo+utca/25852365		hozható	2018 április	duplakomfortos	van		12	önálló garázs	benne van az árban			van	750000	haz	50000	4	4	0	160	budapest ii ker pasareten bauhaus haz hosszútáv kiado napraforgo utcaban gerloczy gedeon tervez muemlek haz keres berlojet az ingatlan ketszintes 2 hàlos teraszos dupla garazzsal az also szint nagy nappali kertkapcsolatos konyha az emelet 2 háló fürdő télikert terasz 40 nm fűtött garazs 2 auto beállás	2	360.0				családi ház	56,56a,59b,61	külön helyiségben
14	Füzike utca	nem	felújított	nem		részben bútorozott	Göd	47.6834336	19.1341568	kiado		nem megengedett			2001-2010 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/god-nevelek/kiado+haz/ikerhaz/pest+megye+god+fuzike+utca/25701647	kertre néző	nem hozható	azonnal	duplakomfortos	van		12	udvari beálló	benne van az árban			nincs	220000	haz	0	4 + 1 fél	4	1	140	frissen igényesen felújított 4 és fél szobás ikerház göd csendes neveleki rész hosszú táv min 1 év kiadó a ház lakóterület bruttó 140 m2 terasz a ház ideális zöldövezet vágyó család földszinti helyiség amerikai konyhás nappali 1 fél szoba külön fürdő és wc spájz emeleti helyiség 2 szoba külön fürdő és wc gépkocsibeállási lehetőség a kert van a kert kb 300 m2 mely újonnan lett parkosít örökzöld virág és automatizált öntözőrendszer mely a víz fúrt kút biztosít a kert megtalálható még egy tágas 7 5 m2 es tároló a kerékpár kerti szerszám gép és kerti bútorok számára a felújítás sor kondenzációs kazán lett beépít valamint a tetőszigetelés is cserélv lett mely eredmény kb fele csökkent a gázfogyasztás a helyiség frissen lett fest a konyha cserélv lett a konyhapult mosogatótálca és a csaptelep a ház részben bútorozott néhány bútor illetve a kerti bútorok áll rendelkezés a vasútállomás 5 perc van gépkocsi vagy 20 perc sétatávolságra van bérleti díj 220 000 ft rezsi kaució 2 hónap bérleti díj	2	375.0	beépített			ikerház		külön helyiségben
15	12. kerület, Zirzen Janka utca 12.			nem	128,155,156		Budapest	47.4983815	19.0404707	kiado	12. kerület								https://ingatlan.com/xii-ker/kiado+haz/csaladi-haz/budapest+12+kerulet+zirzen+janka+utca+12/25691882							nincs						650000	haz	0	8	8	0	360	önálló villa 8 szobás szépen kialakított szoba felújított külső nagy kert kiadó alkalmas családi ház iroda rendelő óvoda		1079.0				családi ház		
16	Lázár Vilmos utca			nem			Vecsés	47.4094382	19.2648259	kiado									https://ingatlan.com/vecses/kiado+haz/csaladi-haz/pest+megye+vecses+lazar+vilmos+utca/25662992							nincs						480000	haz	50000	4	4	0	160	kiadó vecsésen a kispatak lakópark kertvárosi ővezetben egy újszerű 160nm es nappali plusz 4 szobás 2 szintes családiház 250nm es kertel alsó szint található egy agy amerikai konyhás nappali 2 szoba egy fürdőszoba kamra és egy külön wc az emelet 2 szoba fürdőszoba és egy kombinált szauna infra és finn került kialakítás extra dupla klima 2 szolárspot riasztó kamera rendszer okosházrendszer elektromos kapu az udvar több autó számára biztosított a parkolás a kert szépen kialakított díszkert ahol kerti sütögetés kialakított rész is megtalálható rezsi kedvező részben bútorozott minimum egy év kiadó közelben vásárlási lehetőség benzinkút óvoda iskola amennyiben felkeltet felkelt érdeklődés vár a jeentkezését		300.0				családi ház		
17	Verseny utca 13.	nem	jó állapotú	nem		részben bútorozott	Budaörs	47.4600185	18.9541818	kiado		megengedett			1981-2000 között	gázkazán, megújuló energia	gázkazán	megújuló energia	https://ingatlan.com/budaors/kiado+haz/csaladi-haz/pest+megye+budaors+verseny+utca+13/25638402	kertre néző	hozható	azonnal	összkomfortos	nincs		12	udvari beálló	benne van az árban			van	380000	haz	55000	4	4	0	170	budaörs kertvárosi budapest közeli rész csendes kellemes környék részben bútorozott családi ház hosszú táv kiadó kutya macska jöhet a földszint nappali étkező mindkettő közvetlen terasz kapcsolat dolgozó szoba felszerelt konyha kamra kis fürdőszoba nagy zuhanykabinnal az emelet 3 szoba fürdőszoba fürdőkád mosókonyha a pince egy garázs kis autó fér be kazánház 1 helyiség szép nagy kert sarok telek a kert gyerek játszóház mini tó aranyhal grillező és egy kocsibeálló bérleti díj 1200 euro hónap a gép csak forint enged megad bérlés minimum egy év kéthavi kaució és az első hónap befizetés felmondási idő 2 hónap	3	1114.0	beépített			családi ház		külön és egyben is
18	Málnás utca 10.	nem	újszerű	nem		megegyezés szerint	Verőce	47.8230548	19.0339651	kiado		nem megengedett		A	2012	vegyes tüzelésű kazán, cserépkályha	vegyes tüzelésű kazán	cserépkályha	https://ingatlan.com/veroce/kiado+haz/csaladi-haz/pest+megye+veroce+malnas+utca+10/25575912	panorámás	hozható	2018 augusztus	duplakomfortos	nincs		12	önálló garázs	benne van az árban			van	250000	haz	30000	3	3	0	145	irreálisan drága budapesti sötét lyuk a benzingőz vagy csodaszép hely korszerű családi ház ugyanannyi augusztusi költözés verőce felkapott rész a málnás utca hosszú táv kiadás kíánljuk 5 év újonan épült panorámás családi ház tömören a ház lakótér 145nm 3 szoba nappali konyha 2 fürdőszoba wc előszoba közlekedő pince 70nm 1 autós garázs borospince élelmiszer kamra kazánház műhely fedett terasz 23nm börzsöny örök panoráma közlekedés a verőcei lakos döntő hányad budapest jár dolgozik dolgoz iskola ez az ok a következő a nyugati pu 5 35 perc tömegközlekedés ami kevés mint sok bp i kerület autó a jelenleg építés alatt álló m2 autópálya miatt ami pont a verőcei leágazó körforgalom tar ez most több kb 50 perc jövőre ez az idő is jelentősen le fog csökken a bérleti díj 250e ft hó bérleti idő minmum 1 év 2 havi kaúció szükséges megtekinthetőség a család kérés hogy a kedves érdeklődő számára a ház fix időpont alkalom legyen megtekinthető az első időpont mely a megadott elérhetőség vár a kedves érdeklődő március 18 reggel 9 11 között bővebben a 145 négyzetméteres lakótér és gyönyörű panoráma bíró ingatlan egy nagy 45nm látszó gerendás galériás nappali és 3 szoba rendelkezik a nappali egy fedett 23 nm es panorámás fedett terasz kapcsolódik kapcsolód mely a reggeli kávé szürcsöl könnyen belefeledkezhet a csodaszép börzsönyi táj a alsó szint 70 nm 1 autó számára teremgarázs barkács műhely és egy rusztikus borospince található mely tél nyár hűvös menedék nyújt a kint időjárás elől és akár kezdő borászok is nyitogathat itt szárny a környék szőlő felhasznál a rezsi a 44 es porotherm falazat a 8cm kőzetgyapot hőszigetelés és a hőszigetelt műanyag nyílászáró együtt alacsony fűtésköltségeket biztosít átlagos fűtés költség évente kb 150 200e huf ez nagy mérték hozzájárul a garázs üzemelő félautomata vegyes tüzelésű puffertartályos kazánrendszer mely a használati melegvizet is biztosít internet és kábel tv igény szerint vezetékes telefon szintén adott az ingatlan további előny hogy a két közvetlen szomszéd a telek csupán kar tart de nem használ folyamatos ott lakás így közvetlen szomszéd gyakorlatilag van és az utca többi ház kedves barátságos több gyermekes család él idilli hétköznap ezáltal sok új barát tehet szer mind a leendő bérlő mind pedig gyermek a falu központ 8 10 perc séta elérhető iskola óvoda kicsi több kb 15 17 perc autó kerékpár pedig csupán pár perc mindkettő vár a kedves érdeklődő jelentkezés a megadott telefonszáj vagy az alábbi e mailen e mail muczapeter6 gmail com	3	780.0	beépített			családi ház		külön és egyben is
19	Újmajor		újszerű	nem		igen	Tök	47.5645624	18.7316561	kiado					2015	házközponti	házközponti		https://ingatlan.com/tok/kiado+haz/csaladi-haz/pest+megye+tok+ujmajor/25357452			azonnal	összkomfortos	nincs		nincs	udvari beálló	benne van az árban			nincs	690000	haz	0	7	7	0	300	38 fő elhelyezés alkalmas összkomfortos 300nm es munkásszálló hosszú táv kiadó újszerű szigetelt épület korszerű műanyag nyílászáró 5 db szoba 6 fő szoba rész teljes berendezés mini konyha minden szoba külön fürdőszoba wc valamint 1 db külön bejáratú 2 szobás összkomfortos max 8 fő elhelyezés alkalmas lakás ugyanez az épület teljes berendezés hűtő tv mikro főzőlap szél kálmán tér induló közvetlen buszjárat megközelíthető elektromos áram vezetékes víz van melegvíz bojler központi fűtés fatüzeléses kazán csatorna van	földszintes	2000.0				családi ház		külön és egyben is
20	Szőlőhegyi utca	nem	újszerű	nem		igen	Szada	47.6363477	19.3117491	kiado		nem megengedett			2012	gáz (cirko)	gáz (cirko)		https://ingatlan.com/szada/kiado+haz/csaladi-haz/pest+megye+szada+szolohegyi+utca/25276882	panorámás		azonnal	luxus			nincs	udvari beálló					350000	haz	0	3 + 1 fél	3	1	100	szép környezet panorámás ház kiadó teljesen felszerel új ház új bútorok igényes bérlő vár tulajdonos		900.0				családi ház		külön és egyben is
21	12. kerület, Mindszenty József bíboros tér	nem	újszerű	nem	53	megegyezés szerint	Budapest	47.4983815	19.0404707	kiado	12. kerület				2001-2010 között	gáz (cirko), gázkazán	gáz (cirko)	gázkazán	https://ingatlan.com/xii-ker/kiado+haz/ikerhaz/budapest+12+kerulet+mindszenty+jozsef+biboros+ter/25058383	panorámás		azonnal	luxus	van		nincs	udvari beálló				nincs	445000	haz	55000	4 + 1 fél	4	1	150	a város teljes panoráma kínáló 4 1 fél szobás kertes házrész mely 2 udvari parkoló van keres gazda lakó nyugalom természet fényesség letisztult elegancia félemeleti szint nappali konyha mosdó tároló egy kert kapcsolatos és egy panorámás terasz 1 szint 3 franciaerkélyes háló 1 tároló szoba fürdő tetőtér tetőterasz nagy szoba fürdő az igényes anyag a jó tájolás és a kiváló megközelíthetőség és elhelyezkedés adottság az ingatlan teljesen felszerelt minimálisan bútorozott ha bérlő feltétlenül szükséges úgy ágy is adu hogy teljes legyen a berendezés a bérleti díj 1500 1600 eur alkudható ha bérlő teljesen vállalj írás is a kertgondozás és berendezés karbantartás külföldi is szívesen lát a magas árfekvés kitűnő lokáció a közelben nemzetközi iskola és óvoda és budaörs a hegy keresztül megközelíthető osztrák magyar iskola britannica deutsche schule international school of budapest a z international cent for children közlekedés kiváló busz gyermekvasúttal autó is könnyen megközelíthető a belváros olyan személy kíván szerződik szerződ aki tud garancia biztosít a kert lehetőség van az elszeparálódásban a félig szuterén kert kapcsolatos rész a tulajdonos fenntart külföldi rokon magán english posy affordable calm nature brightness priceworthy modest elegance move to the five room real panoramic 4 1 half room property with 2 parking spaces in a two flats garden house on the mezzanine floor kitchen living room one terrace to the garden and another panoramic terrace pantry and toilet at 1 floor 3 room 1 storage room bathroom on the rooftop there is a sunny terrace room bathroom the quality materials the good orientation and the excellent accessibility makes it a good location for those who are looking for calm and inspiration while living in budapest at 15 minutes from downtown excellent location close to international schools and kindergartens austrian hungarian school britannica deutsche schule international school of budapest a z international center for children excellent transport bus childrens trains and car easily accessible from downtown the rent is 1500 1600 eur negotiable if the tenant completely agrees in writing to pay the gardening and maintenance and repairs equipment certifies professionals bill foreigners are also welcome at the higher price ranges we would like to contract with people who can provide guarantees and notarial statements no unpaid invoices will remain the property is equipped and is minimally furnished if a tenant finds it necessary we can give beds to complete the equipment in the garden and in the house you can enjoy calm the second flat of the house is maintained for foreign family members calme nature luminosité élégance modeste	2	350.0	beépített			ikerház		külön és egyben is
22	2. kerület, Zsíroshegyi út	nem	jó állapotú	nem	57,157,157a,257	nem	Budapest	47.4983815	19.0404707	kiado	2. kerület		956		1981-2000 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/ikerhaz/budapest+2+kerulet+zsiroshegyi+ut/24365893	kertre néző		azonnal	duplakomfortos	nincs		12	önálló garázs	benne van az árban			nincs	260000	haz	0	2 + 2 fél	2	2	120	a ii kerület csendes kertvárosi környezet 120 m2 es 3 szintes ikerházfél hosszútáv kiadó a 3 szint szinteltolás összesen 2 2 fél szoba 1 nappali 2 fürdőszoba 1 konyha kamra külön wc mosókonyha kertkapcsolatos nappali és egy garázs akna található az infrastruktúra autó és tömegközlekedés is kiváló a közelben több buszmegálló is található megközelítés busz a hűvösvölgyi végállomás mindössze 7 perc parkol a ház előtt is lehetséges a környék nemzetközi iskola és bevásárlási lehetőség is elérhető a ház bútorozatlanul részben gépesít minimum 1 év 2 havi kaució és az első havi bérleti díj bérelhető megegyezés szerint a ház a bérlő ízlés alakítható	3	384.0	nem beépíthető			ikerház		külön és egyben is
23	Pók utca 50.			nem	63		Nagykovácsi	47.5762363	18.882064	kiado			963						https://ingatlan.com/nagykovacsi/kiado+haz/ikerhaz/pest+megye+nagykovacsi+pok+utca+50/24092958							nincs						160000	haz	0	1 + 1 fél	1	1	73	kiadó nagykovácsi központi rész egy teljesen felújított 73 nm es ikerház kocsibeálló nappali amerikai konyha étkező gardrób mosókonyha hálószoba gőzkabinos fürdőszoba klimatizált cirkó fűtés padló illetve radiátor fűtés kombinál teljesen felszerelt bútorozott hűtő tv hifi mosógép mosogatógép stb padlástér 50 nm tároló alkalmas kocsibeállónál elektromos kapu teljesen leválasztott külön közmű rendelkezik kaució 3 hónap		30.0				ikerház		
24	József Attila utca			nem			Iklad	47.6593942	19.4433911	kiado									https://ingatlan.com/iklad/kiado+haz/csaladi-haz/pest+megye+iklad+jozsef+attila+utca/23059913							nincs						600000	haz	0	5	5	0	690	2008 as építésű ház hosszú táv kiadó a ház 160 m² es nappali található kandalló a ház további rész télikert 50 m² fűtött medence 8 4 méteres jacuzzi finn szauna terasz 100 m² három állásos garázs 60 m² borospince 30 m² 30 m² es kerti grill nagy kemence 90 m² faház a ház örökzöld parkosít automata locsolórendszerrel térfigyelő kamera és légnyomás rendszer működő riasztó ár megegyezés szerint		3873.0				családi ház		
